requested_n_ribs,effective_n_ribs,th_front,th_back,xf,zf,phi_ribs,th_ribs,winding_number,area_factor,normed_fx,normed_fz,reward,E_front,E_back
3,3,0.002298651039438222,0.0043847051039726335,0.02274694060564897,0.025133462048832822,[38.11641895 21.09354528 30.67371609],[0.00201782 0.00225349 0.00289736],0.25393998722212274,0.44729217940512955,0.4200422772885294,0.11012584092941921,-1.0111486029863623,0.024637270721861143,0.07493886633409266
3,3,0.0028658393079071687,0.0042417705399893325,0.037458910250964594,0.023666682929629257,[  4.90268615  41.37995453 -16.76054457],[0.00276276 0.00270011 0.0028121 ],0.24840888003769265,0.24925066492848388,0.4219674448763789,0.35584565213218267,-0.5637813377103728,0.04274933602633459,0.07791745846196316
3,3,0.002032862582498153,0.004564196570020535,0.04432615202935364,0.014431739120410958,[ 1.76810048 22.65151002 -8.90872354],[0.00209536 0.00272143 0.00210639],0.25312543862905906,0.5589003399841572,0.43986639260276916,0.0591401780519452,-1.1927519931640405,0.016389469306300974,0.08456009859544604
3,3,0.002523198210963358,0.004575216608391406,0.008630939758175638,0.04200671462932282,[ 40.01380043   8.39985988 -35.01978855],[0.00222407 0.00266515 0.00290708],0.24710560905522583,0.32287189040524844,0.5917693520096262,0.3402018696898807,-0.8215449817802198,0.02589118647830323,0.0981423226786995
3,3,0.002521751963818598,0.004217893580384281,0.03190256223332566,-0.004928668313244122,[20.80191407 14.18984083 55.15746695],[0.00248164 0.00274652 0.00265001],0.2559655345183001,0.4227335641930167,0.4949521942281928,0.1929996071610139,-0.9806516857784957,0.034933469639470166,0.07169868922311382
3,3,0.00240524262456056,0.004624193546758174,0.010571479256406668,0.034425654380294546,[ 50.64155839 -32.03069585 -10.76092361],[0.00218762 0.00290256 0.00254602],0.24268765569446565,0.4511832376285181,0.5737578633533326,0.9325267494074236,-0.33510200726889283,0.020029723269497295,0.11812040235564229
3,3,0.002151405169276562,0.0048422219494837476,0.047850629798960376,0.010471167008843096,[23.5264688  38.03751921 16.487792  ],[0.0024348  0.00279549 0.00207081],0.2537793237744224,0.7641931648961959,0.49238372252603774,0.17695252017396984,-1.333403691022686,0.019936657142240185,0.09135668545356392
3,3,0.002961603266893539,0.004717434436310816,0.018995169897718878,0.014018594072574553,[38.66584891 24.41442484  5.83010345],[0.00285854 0.00285284 0.00287451],0.25788458476610543,0.2939587498678542,0.7380195015411561,0.4463635763308072,-0.8434992598443085,0.04954946050620027,0.07780490478262207
3,3,0.002547890424983028,0.0041197124927726,0.0473353777810579,0.052306545046992836,[-20.12813739 -12.32668373 -30.58148161],[0.00281876 0.00297767 0.00268898],0.2364604330625417,0.32101846462398537,0.47682508033606047,0.8399984037153588,-0.19430557430722872,0.022435266387266208,0.1037995951481363
3,3,0.002159121297297251,0.0039602637558102845,0.014760209680792835,0.023872408336661044,[ 44.00207598 -25.0177457   -1.55693258],[0.00215017 0.00294824 0.002487  ],0.25403680481245877,0.7328584094552929,0.4276698423172278,0.46127976984400687,-0.9532852867409726,0.022691589165931052,0.06797236242671571
3,3,0.002473884827344413,0.004401807373406279,0.05039798344240054,0.02609871007814779,[27.28170817 -2.81869388  8.5809653 ],[0.00261638 0.00270308 0.00211321],0.24811452762202313,0.2515616312185385,0.37653201086716864,0.37740701581860525,-0.49880115388912494,0.027271109573452853,0.09174721040679827
3,3,0.0026572779628162672,0.004971677142812977,0.0808779697549592,0.07185066986998567,[ -1.89764375 -26.48679939 -13.60253231],[0.00245854 0.00289031 0.0027809 ],0.24519200594328724,0.3018436245856045,0.6458183913945891,0.6983677177271963,-0.4944863041962846,0.027536478397827767,0.12709740225789834
3,3,0.002703976149908308,0.0034667686017056825,0.18868414646125287,-0.061287208043053876,[23.8707626  30.9626683  27.78273928],[0.00237037 0.00217081 0.00268827],0.254898148307498,0.2937224529413874,0.3643631069711475,0.1243266836752909,-0.7886570245447421,0.04134758071518694,0.04315139017475709
3,3,0.002874030790065557,0.00440041195863464,0.07363779086301425,0.05180466622149171,[-24.26624102  12.23492717   3.28816033],[0.0029256  0.002427   0.00274708],0.24947104102522244,0.256055567077557,0.5125394804313504,0.4917740265284748,-0.5262920620056551,0.04265804104510607,0.07924271038576479
3,3,0.0021895910827643647,0.004043347666953987,0.05671135326511301,-0.007695728637774457,[21.79921085 23.99151786 12.77666685],[0.00218679 0.0022743  0.00276811],0.2518163201303498,0.2851067028615713,0.34902311727818053,0.17285023030192187,-0.7130959099681797,0.022556869306775168,0.0659912766889689
3,3,0.0020406993745069033,0.003522297409257265,0.03596685659914611,0.003378728744871884,[51.15475271 10.56918753  0.18195787],[0.00229156 0.00289274 0.0028938 ],0.2528504133884656,0.2592519398150613,0.23157066465308054,0.04857110786049261,-0.6951019099961149,0.018824601173942187,0.0457122234000963
